State,Year,Season,Crop,Area,Rainfall,Production
Andaman and Nicobar Islands,2000,Kharif,Rice,102.0,2763.2,321.0
Andaman and Nicobar Islands,2000,Whole Year,Banana,176.0,2763.2,641.0
Andaman and Nicobar Islands,2000,Whole Year,Dry ginger,36.0,2763.2,100.0
Andaman and Nicobar Islands,2000,Whole Year,Sugarcane,1.0,2763.2,2.0
Andaman and Nicobar Islands,2000,Whole Year,Sweet potato,5.0,2763.2,15.0
Andaman and Nicobar Islands,2001,Kharif,Rice,83.0,3080.9,300.0
Andaman and Nicobar Islands,2001,Whole Year,Dry ginger,46.0,3080.9,100.0
Andaman and Nicobar Islands,2001,Whole Year,Sugarcane,1.0,3080.9,1.0
Andaman and Nicobar Islands,2001,Whole Year,Sweet potato,11.0,3080.9,33.0
Andaman and Nicobar Islands,2002,Kharif,Rice,189.2,2620.2,510.84
Andaman and Nicobar Islands,2002,Whole Year,Banana,213.0,2620.2,1278.0
Andaman and Nicobar Islands,2002,Whole Year,Dry chillies,413.0,2620.2,28.8
Andaman and Nicobar Islands,2002,Whole Year,Dry ginger,47.3,2620.2,133.0
Andaman and Nicobar Islands,2002,Whole Year,Sugarcane,5.0,2620.2,40.0
Andaman and Nicobar Islands,2003,Kharif,Rice,52.0,2355.9,90.17
Andaman and Nicobar Islands,2003,Whole Year,Banana,266.0,2355.9,1763.0
Andaman and Nicobar Islands,2003,Whole Year,Dry chillies,60.0,2355.9,102.0
Andaman and Nicobar Islands,2003,Whole Year,Dry ginger,102.0,2355.9,326.4
Andaman and Nicobar Islands,2004,Kharif,Rice,52.94,2460.1,72.57
Andaman and Nicobar Islands,2004,Whole Year,Banana,66.42,2460.1,404.12
Andaman and Nicobar Islands,2004,Whole Year,Dry chillies,60.0,2460.1,145.2
Andaman and Nicobar Islands,2004,Whole Year,Dry ginger,118.0,2460.1,366.0
Andaman and Nicobar Islands,2005,Kharif,Rice,2.09,2954.7,12.06
Andaman and Nicobar Islands,2005,Whole Year,Banana,22.0,2954.7,582.0
Andaman and Nicobar Islands,2005,Whole Year,Turmeric,10.0,2954.7,70.0
Andaman and Nicobar Islands,2006,Whole Year,Banana,198.0,2404.7,976.0
Andaman and Nicobar Islands,2006,Whole Year,Dry chillies,3.0,2404.7,9.0
Andaman and Nicobar Islands,2006,Whole Year,Dry ginger,6.0,2404.7,21.0
